[DEBUG] 2021-05-12 11:38:40.233 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-05-12 11:38:40.235 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-05-12 11:38:40.244 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-05-12 11:38:40.364 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-05-12 11:38:40.366 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-05-12 11:38:40.657 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-05-12 11:38:40.658 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-05-12 11:38:40.664 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-05-12 11:38:41.032 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-05-12 11:38:41.062 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-05-12 11:38:41.064 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-05-12 11:38:41.092 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-05-12 11:38:41.178 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@14b789f6
[DEBUG] 2021-05-12 11:38:41.179 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@14b789f6
[DEBUG] 2021-05-12 11:38:41.179 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@14b789f6
[DEBUG] 2021-05-12 11:38:41.182 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@fab35b1
[DEBUG] 2021-05-12 11:38:41.184 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4beaf6bd
[DEBUG] 2021-05-12 11:38:41.185 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3374b5bc
[DEBUG] 2021-05-12 11:38:41.187 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@22587507
[DEBUG] 2021-05-12 11:38:41.188 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@22587507
[DEBUG] 2021-05-12 11:38:41.189 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@22587507
[DEBUG] 2021-05-12 11:38:41.191 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4760f169
[DEBUG] 2021-05-12 11:38:41.191 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4760f169
[DEBUG] 2021-05-12 11:38:41.191 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4760f169
[DEBUG] 2021-05-12 11:38:41.193 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d904e9c
[DEBUG] 2021-05-12 11:38:41.193 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d904e9c
[DEBUG] 2021-05-12 11:38:41.193 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3d904e9c
[DEBUG] 2021-05-12 11:38:41.194 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7f353d99
[DEBUG] 2021-05-12 11:38:41.195 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7f353d99
[DEBUG] 2021-05-12 11:38:41.195 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7f353d99
[DEBUG] 2021-05-12 11:38:41.196 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1229a2b7
[DEBUG] 2021-05-12 11:38:41.196 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1229a2b7
[DEBUG] 2021-05-12 11:38:41.196 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1229a2b7
[DEBUG] 2021-05-12 11:38:41.198 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@31ee2fdb
[DEBUG] 2021-05-12 11:38:41.198 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@31ee2fdb
[DEBUG] 2021-05-12 11:38:41.198 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@31ee2fdb
[DEBUG] 2021-05-12 11:38:41.199 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@558756be
[DEBUG] 2021-05-12 11:38:41.199 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@558756be
[DEBUG] 2021-05-12 11:38:41.199 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@558756be
[DEBUG] 2021-05-12 11:38:41.200 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@43045f9f
[DEBUG] 2021-05-12 11:38:41.200 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@43045f9f
[DEBUG] 2021-05-12 11:38:41.201 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3968bc60
[DEBUG] 2021-05-12 11:38:41.201 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3968bc60
[DEBUG] 2021-05-12 11:38:41.202 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@21bd20ee
[DEBUG] 2021-05-12 11:38:41.202 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@21bd20ee
[DEBUG] 2021-05-12 11:38:41.203 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@60bbacfc
[DEBUG] 2021-05-12 11:38:41.204 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7a0e7ecd
[DEBUG] 2021-05-12 11:38:41.207 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@5b852b49
[DEBUG] 2021-05-12 11:38:41.207 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@5b852b49
[DEBUG] 2021-05-12 11:38:41.208 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@80bfdc6
[DEBUG] 2021-05-12 11:38:41.208 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@80bfdc6
[DEBUG] 2021-05-12 11:38:41.216 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4d41ba0f
[DEBUG] 2021-05-12 11:38:41.217 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4d41ba0f
[DEBUG] 2021-05-12 11:38:41.219 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@49faf066
[DEBUG] 2021-05-12 11:38:41.219 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@49faf066
[DEBUG] 2021-05-12 11:38:41.223 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@59072e9d
[DEBUG] 2021-05-12 11:38:41.223 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@59072e9d
[DEBUG] 2021-05-12 11:38:41.225 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5e5af8e1
[DEBUG] 2021-05-12 11:38:41.225 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5e5af8e1
[DEBUG] 2021-05-12 11:38:41.227 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6e0c6a7a
[DEBUG] 2021-05-12 11:38:41.227 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6e0c6a7a
[DEBUG] 2021-05-12 11:38:41.229 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@50850539
[DEBUG] 2021-05-12 11:38:41.229 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@50850539
[DEBUG] 2021-05-12 11:38:41.231 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d95a72e
